ts,timestamp,atr_1m,volume_1m,ema9_volume_1m,dist_daily,dist_4h,dist_weekly,ghost_track_kind,ghost_wick,ghost_wick_atr,ghost_broke,ghost_broke_atr,ghost_gap_prev,ghost_gap_prev_atr,ghost_prev_age,ghost_bars_since_pivot,ghost_n_in_leg,ghost_leg_extent_atr,rvol5,rvol15,rvol30,rng15,rng15_atr,body_atr,bar_rng_atr,vol_rel20,tf1m_dist_ob,tf1m_thick_ob,tf1m_dist_fvg,tf1m_thick_fvg,tf1m_dist_bsl,tf1m_dist_ssl,tf1m_dist_eqh,tf1m_dist_eql,tf1m_dist_bos,tf1m_dist_choch,tf1m_dist_sweep,tf1m_dist_grab,tf1m_dist_run,tf1m_dist_fib,tf1m_dist_vwap,tf1m_vwap_band1_width,tf1m_dist_poc,tf1m_dist_vah,tf1m_dist_val,tf1m_dist_supply,tf1m_thick_supply,tf1m_dist_demand,tf1m_thick_demand,tf10m_dist_ob,tf10m_thick_ob,tf10m_dist_fvg,tf10m_thick_fvg,tf10m_dist_bsl,tf10m_dist_ssl,tf10m_dist_eqh,tf10m_dist_eql,tf10m_dist_bos,tf10m_dist_choch,tf10m_dist_sweep,tf10m_dist_grab,tf10m_dist_run,tf10m_dist_fib,tf10m_dist_vwap,tf10m_vwap_band1_width,tf10m_dist_poc,tf10m_dist_vah,tf10m_dist_val,tf10m_dist_supply,tf10m_thick_supply,tf10m_dist_demand,tf10m_thick_demand,tf1h_dist_ob,tf1h_thick_ob,tf1h_dist_fvg,tf1h_thick_fvg,tf1h_dist_bsl,tf1h_dist_ssl,tf1h_dist_eqh,tf1h_dist_eql,tf1h_dist_bos,tf1h_dist_choch,tf1h_dist_sweep,tf1h_dist_grab,tf1h_dist_run,tf1h_dist_fib,tf1h_dist_vwap,tf1h_vwap_band1_width,tf1h_dist_poc,tf1h_dist_vah,tf1h_dist_val,tf1h_dist_supply,tf1h_thick_supply,tf1h_dist_demand,tf1h_thick_demand,target_3m,target_5m,target_10m,target_15m
1775029860,2026-04-01T02:51:00-05:00,12.9235651229231,621,621,,,,-1,34,0.657713248561975,0,0,0,0,0,50,0,7.08008967569656,101.985293057382,86.336890109327,68.1173010427803,358,6.92533361721139,0.909191843600378,1.77969467257946,2.98489356832227,230.75,44,-64.75,49,-265.25,66.75,,,-41.25,170.75,152.75,170.75,-41.25,,,,,,,,,,,,,92.75,98,-314.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,5,7
1775029920,2026-04-01T02:52:00-05:00,13.054024757,332,563.2,,,,-1,10,0.191511816971192,6,0.114907090182715,4,0.0766047267884769,1,51,1,7.12423959132835,103.311422408173,104.335097162939,79.5527822347548,364,6.97103013775139,0.574535450913576,1.12991972013003,1.53264453726094,200.25,44,-37.75,12,-295.75,36.25,,,-71.75,140.25,122.25,140.25,-71.75,,,,,,,,,,,,,62.25,98,-344.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,5,6
1775029980,2026-04-01T02:53:00-05:00,13.1394515600715,544,559.36,,,,-1,52,0.98938680511634,25,0.475666733229009,27,0.51372007188733,1,52,2,7.55358772367667,78.3964284900785,113.079548880423,87.8260270658812,369,7.02084098246018,0.323453378595726,1.08452015176214,2.30694668820679,184,44,-54,12,-312,151,,,-88,124,20,124,69,,,,,,,,,,,,,46,98,-361,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,4,5
1775030340,2026-04-01T02:59:00-05:00,13.3489205437383,457,538.888,,,,-1,28,0.524386970247086,39,0.73039613712987,11,0.206009166882784,6,58,3,8.16545425099034,26.1597655443112,124.831824367827,125.647442937584,387,7.24777705305794,0.618027500648351,1.38587984993873,1.64191616766467,-67.25,40,-88.25,12,-87.25,1.75,,,1.75,89.75,-14.25,89.75,34.75,,,,,,,,,,,,,11.75,98,-395.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,5,7
1775030400,2026-04-01T03:00:00-05:00,13.7168547906141,409,512.9104,,,,-1,57,1.03886789045479,2,0.0364515049282383,55,1.00241638552655,1,59,4,7.98287957928419,26.119384032213,116.624380357411,130.57680410008,388,7.07159195607824,0.528546821459456,1.34870568234482,1.39977183833116,-70.25,40,-91.25,12,-90.25,113.75,,,-1.25,86.75,-17.25,-1.25,31.75,,,,,,,,,,,,,8.75,98,-398.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,5,6
1775030460,2026-04-01T03:01:00-05:00,14.1299365912845,388,487.92832,,,,-1,7,0.12385052039649,21,0.371551561189471,14,0.247701040792981,1,60,5,8.12105555171272,40.0735435030256,112.055162197018,137.706348806295,399,7.05947966259995,1.22081227247969,1.34466279287618,1.28274559193955,-91.25,40,-112.25,12,-111.25,92.75,,,-22.25,65.75,-38.25,-22.25,10.75,,,,,,,,,,,,,-12.25,98,-419.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,5,5
1775030520,2026-04-01T03:02:00-05:00,14.3527982633356,429,476.142656,,,,-1,31,0.539964392852748,27,0.470291567968522,4,0.0696728248842255,1,61,6,8.4652482234334,39.6344406910062,99.9087083291542,144.262075078419,425,7.40273764394896,0.121927443547395,1.20185622925289,1.37899892851676,93.5,44,-144.5,12,-143.5,60.5,,,28.5,33.5,15.5,33.5,4.5,,,,,,,,,,,,,-44.5,98,-451.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,4,4
1775030760,2026-04-01T03:06:00-05:00,15.5464330278824,249,430.7141248,,,,-1,10,0.160808591624605,17,0.273374605761828,7,0.112566014137223,4,65,7,8.08867215871761,38.580723453847,47.4054568984416,154.849085673849,195,3.13576753667979,1.10957928220977,1.72065193038327,0.749355116079106,91,44,-147,12,-146,32,,,26,31,13,31,2,,,,,,,,,,,,,-47,98,-454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,3,3
1775030940,2026-04-01T03:09:00-05:00,14.4285762981988,253,395.17129984,,,,-1,12,0.207920721906187,18,0.311881082859281,6,0.103960360953094,3,68,8,9.02722467609362,40.970178856768,56.7559192948189,154.499992422941,213,3.69059281383482,0.641088892544077,0.849009614450264,0.745998315080034,51.5,44,-43.5,30,-144.5,73.5,,,-13.5,-8.5,-13.5,-7.5,36.5,,,,,,,,,,,,,-206.5,124,-493.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,2
1775031000,2026-04-01T03:10:00-05:00,13.8979637054703,223,360.737039872,,,,-1,11,0.197870713888653,10,0.179882467171502,1,0.0179882467171502,1,69,9,9.55175900680678,29.8552061344974,59.3464075892551,153.931360299527,223,4.01137901792451,0.161894220454352,0.503670908080207,0.676538572666859,28.75,44,-66.25,30,-167.25,50.75,,,13.75,-31.25,-4.25,28.75,13.75,,,,,,,,,,,,,-229.25,124,-516.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1
